account_id,customer_name,age,occupation,monthly_income,income_band,province,account_open_date,bot_confirmed_mule,bot_flagged_date,connected_component_id,pagerank_score,triangle_count,community_id,two_hop_ratio,behavior_profile,device_pattern_cluster,total_inflow_thb,unique_senders,total_outflow_thb,unique_receivers,avg_hold_time_hours,risk_score
A-1000,ประเสริฐ พลอยแก้ว,18,freelance,10000.0,<15K,Bangkok,2025-08-14,false,,0,0.227884,712,0,1.0,pass_through,17179869184,9.40923364E7,20,1.0008706489E8,198,179.47,0.6375
A-1001,สมหญิง นาคสุข,18,student,10000.0,<15K,Bangkok,2025-08-16,true,2025-11-26,0,0.183065,141,833223655424,1.0,pass_through,25769803776,5968468.39,15,1.284166604E7,21,178.98,0.6091
A-1002,ปรัชญา สุขสวัสดิ์,24,unemployed,15000.0,<15K,Chonburi,2025-11-15,false,,0,0.197188,145,833223655424,1.0,pass_through,1030792151040,4033911.55,17,1.063778544E7,17,173.21,0.5189
A-1003,อรุณี เจริญผล,23,freelance,10000.0,<15K,Bangkok,2025-08-12,false,,0,0.206441,144,833223655424,1.0,pass_through,17179869184,7653748.41,18,1.436825986E7,22,179.84,0.5237
A-1004,ปวีณา แซ่ลิ้ม,23,freelance,8000.0,<15K,Bangkok,2025-10-13,false,,0,0.211899,153,833223655424,1.0,pass_through,17179869184,6550407.31,19,1.818339658E7,22,195.32,0.5296
A-1005,ชุติมา กิจเจริญ,23,unemployed,8000.0,<15K,Rayong,2025-06-29,true,2025-11-17,0,0.218428,140,833223655424,1.0,pass_through,25769803776,6640726.07,19,1.082049451E7,19,178.44,0.6285
A-1006,พรทิพย์ ชัยสิทธิ์,19,part_time_worker,12000.0,<15K,Bangkok,2025-10-12,true,2025-12-06,0,0.219923,142,833223655424,1.0,pass_through,25769803776,7087029.74,19,1.344715406E7,21,169.21,0.6292
A-1007,ปิยะดา ใจดี,22,student,10000.0,<15K,Bangkok,2025-11-01,false,,0,0.218749,140,833223655424,1.0,pass_through,1030792151040,8677802.23,19,1.194562312E7,19,178.54,0.5286
A-1008,สุรชัย ธนาคม,34,unemployed,12000.0,<15K,Bangkok,2025-07-02,true,2025-11-20,0,0.211855,147,833223655424,1.0,pass_through,1030792151040,6924165.54,19,1.791694847E7,23,171.15,0.6285
A-1009,ลัดดา ใจดี,23,unemployed,15000.0,<15K,Bangkok,2025-09-27,false,,0,0.1938,142,833223655424,1.0,pass_through,919123001344,5389973.91,15,1.118647833E7,20,182.46,0.5115
A-1010,สมศักดิ์ ตันติกุล,22,part_time_worker,15000.0,<15K,Bangkok,2025-09-18,false,,0,0.181377,144,833223655424,1.0,pass_through,678604832768,5256796.69,15,1.294707334E7,20,180.68,0.5093
A-1011,จันทร์เพ็ญ แซ่ลิ้ม,27,unemployed,10000.0,<15K,Bangkok,2025-10-04,false,,0,0.238425,155,833223655424,1.0,pass_through,833223655424,8994798.21,24,1.621481955E7,25,183.03,0.5509
A-1012,ชุติมา วัฒนา,22,student,8000.0,<15K,Bangkok,2025-11-02,false,,0,0.207763,132,833223655424,1.0,pass_through,1503238553600,6749825.91,21,1.415191749E7,17,182.46,0.5312
A-1013,วันดี เจริญผล,25,student,12000.0,<15K,Khon Kaen,2025-10-24,false,,0,0.190435,127,833223655424,1.0,pass_through,1228360646656,5846411.84,18,1.077246014E7,16,195.69,0.5174
A-1014,นิภา รุ่งเรือง,34,unemployed,10000.0,<15K,Chiang Rai,2025-09-21,false,,0,0.203697,149,833223655424,1.0,pass_through,996432412672,6262465.77,18,1.292517308E7,24,162.77,0.5241
A-1015,ภูมิพัฒน์ ชูศรี,18,student,12000.0,<15K,Chiang Mai,2025-09-04,true,2025-11-23,0,0.220543,143,833223655424,1.0,pass_through,764504178688,7403543.55,20,1.044903612E7,21,162.02,0.6326
A-1016,ปิยะดา สมบูรณ์,27,unemployed,10000.0,<15K,Bangkok,2025-10-17,false,,0,0.197395,143,833223655424,1.0,pass_through,154618822656,6748825.21,16,1.815199849E7,23,186.83,0.5155
A-1017,ลัดดา แซ่ตั้ง,21,unemployed,12000.0,<15K,Bangkok,2025-09-28,true,2025-11-17,0,0.224073,148,833223655424,1.0,pass_through,1090921693184,8850805.49,21,1.470819884E7,21,194.75,0.6373
A-1018,นพดล นาคสุข,19,unemployed,10000.0,<15K,Chiang Mai,2025-07-04,false,,0,0.192522,683,0,1.0,pass_through,721554505728,9.263144698E7,16,9.591699915E7,193,142.35,0.6127
A-1019,พรรณี วัฒนา,19,student,10000.0,<15K,Chiang Mai,2025-07-05,false,,0,0.182146,105,1099511627776,1.0,pass_through,644245094400,8497020.8,15,1.488035286E7,15,154.49,0.5024
A-1020,พิมพ์ชนก สว่างวงศ์,25,unemployed,10000.0,<15K,Nakhon Ratchasima,2025-11-11,false,,0,0.19957,123,1099511627776,1.0,pass_through,420906795008,7835408.08,19,1.72238313E7,19,155.8,0.5217
A-1021,สุทธิพงศ์ พงษ์สวัสดิ์,24,freelance,15000.0,<15K,Nonthaburi,2025-10-01,false,,0,0.220177,141,1099511627776,1.0,pass_through,721554505728,6740626.02,25,1.306103039E7,22,153.6,0.5478
A-1022,เกียรติศักดิ์ แสงจันทร์,24,freelance,8000.0,<15K,Chiang Mai,2025-08-20,false,,0,0.197862,118,1099511627776,1.0,pass_through,721554505728,6734967.94,17,1.886253276E7,26,135.41,0.5142
A-1023,พรรณี นาคสุข,25,unemployed,8000.0,<15K,Chiang Mai,2025-10-09,false,,0,0.193608,138,1099511627776,1.0,pass_through,644245094400,6420800.2,19,1.406538844E7,24,138.1,0.5232
A-1024,วรพล มงคลชัย,18,student,10000.0,<15K,Lampang,2025-07-30,true,2025-11-22,0,0.168941,105,1099511627776,1.0,pass_through,644245094400,5810067.4,13,1.562067611E7,19,151.1,0.5935
A-1025,เบญจมาศ ใจดี,24,student,15000.0,<15K,Chiang Mai,2025-08-24,true,2025-12-10,0,0.1929,110,1099511627776,1.0,pass_through,644245094400,9679313.68,17,1.687847624E7,23,143.84,0.6117
A-1026,สุรชัย อินทร์แก้ว,25,unemployed,10000.0,<15K,Bangkok,2025-09-01,false,,0,0.190189,118,1099511627776,1.0,pass_through,420906795008,6074666.01,17,1.448475681E7,24,148.23,0.5126
A-1027,วันดี ชัยสิทธิ์,26,student,15000.0,<15K,Chiang Mai,2025-10-24,true,2025-11-22,0,0.205931,125,1099511627776,1.0,pass_through,420906795008,6560924.61,21,1.396686842E7,21,128.99,0.6295
A-1028,วีรยุทธ ชูศรี,20,student,8000.0,<15K,Chiang Mai,2025-08-17,false,,0,0.20642,124,1099511627776,1.0,pass_through,420906795008,8198147.82,20,1.594481782E7,21,151.29,0.5263
